picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 9600
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
1013237,46.75,STAYOFF
1015237,46.69,STAYOFF
1017237,46.69,STAYOFF
1019237,46.69,STAYOFF
1021237,46.69,STAYOFF
1023237,46.69,STAYOFF
1025236,46.69,STAYOFF
1027236,46.69,STAYOFF
1029236,46.69,STAYOFF
1031238,46.69,STAYOFF
1033237,46.69,STAYOFF
1035237,46.63,STAYOFF
1037237,46.63,STAYOFF
1039237,46.63,STAYOFF
1041236,46.63,STAYOFF
1043236,46.63,STAYOFF
1045238,46.63,STAYOFF
1047238,46.63,STAYOFF
1049237,46.63,STAYOFF
1051237,46.63,STAYOFF
1053237,46.63,STAYOFF
1055237,46.56,STAYOFF
1057236,46.56,STAYOFF
1059236,46.56,STAYOFF
1061237,46.56,STAYOFF
1063237,46.56,STAYOFF
1065236,46.56,STAYOFF
1067236,46.56,STAYOFF
1069236,46.56,STAYOFF
1071236,46.56,STAYOFF
1073235,46.56,STAYOFF
1075236,46.56,STAYOFF
1077236,46.50,STAYOFF
1079236,46.50,STAYOFF
1081236,46.50,STAYOFF
1083236,46.50,STAYOFF
1085236,46.50,STAYOFF
1087236,46.50,STAYOFF
1089235,46.50,STAYOFF
1091237,46.50,STAYOFF
1093237,46.50,STAYOFF
1095237,46.44,STAYOFF
1097236,46.50,STAYOFF
1099236,46.44,STAYOFF
1101236,46.44,STAYOFF
1103236,46.44,STAYOFF
1105235,46.44,STAYOFF
1107236,46.44,STAYOFF
1109236,46.44,STAYOFF
1111236,46.44,STAYOFF
1113236,46.44,STAYOFF
1115236,46.38,STAYOFF
1117236,46.38,STAYOFF
1119236,46.38,STAYOFF
1121236,46.38,STAYOFF
1123236,46.38,STAYOFF
1125236,46.38,STAYOFF
1127236,46.38,STAYOFF
1129236,46.38,STAYOFF
1131236,46.38,STAYOFF
1133236,46.38,STAYOFF
1135236,46.38,STAYOFF
1137236,46.31,STAYOFF
1139236,46.31,STAYOFF
1141236,46.31,STAYOFF
1143236,46.31,STAYOFF
1145236,46.31,STAYOFF
1147236,46.31,STAYOFF
1149236,46.31,STAYOFF
1151236,46.31,STAYOFF
1153236,46.31,STAYOFF
1155236,46.31,STAYOFF
1157236,46.31,STAYOFF
1159236,46.25,STAYOFF
1161236,46.25,STAYOFF
1163236,46.25,STAYOFF
1165236,46.25,STAYOFF
1167237,46.25,STAYOFF
1169236,46.25,STAYOFF
1171236,46.25,STAYOFF
1173236,46.25,STAYOFF
1175236,46.25,STAYOFF
1177236,46.19,STAYOFF
1179236,46.19,STAYOFF
1181236,46.19,STAYOFF
1183236,46.19,STAYOFF
1185238,46.19,STAYOFF
1187237,46.19,STAYOFF
1189237,46.19,STAYOFF
1191237,46.19,STAYOFF
1193236,46.19,STAYOFF
1195236,46.19,STAYOFF
1197236,46.19,STAYOFF
1199236,46.19,STAYOFF
1201235,46.19,STAYOFF
1203235,46.13,STAYOFF
1205235,46.13,STAYOFF
1207235,46.13,STAYOFF
1209235,46.13,STAYOFF
1211236,46.13,STAYOFF
1213237,46.13,STAYOFF
1215238,46.13,STAYOFF
1217239,46.13,STAYOFF
1219238,46.13,STAYOFF
1221238,46.13,STAYOFF
1223238,46.13,STAYOFF
1225237,46.06,STAYOFF
1227237,46.06,STAYOFF
1229237,46.06,STAYOFF
1231237,46.06,STAYOFF
1233236,46.06,STAYOFF
1235236,46.06,STAYOFF
1237236,46.06,STAYOFF
1239236,46.06,STAYOFF
1241236,46.06,STAYOFF
1243236,46.06,STAYOFF
1245237,46.00,STAYOFF
1247238,46.00,STAYOFF
1249239,46.00,STAYOFF
1251239,46.00,STAYOFF
1253239,46.00,STAYOFF
1255239,46.00,STAYOFF
1257239,46.00,STAYOFF
1259239,46.00,STAYOFF
1261239,46.00,STAYOFF
1263239,46.00,STAYOFF
1265239,46.00,STAYOFF
1267238,45.94,STAYOFF
1269238,45.94,STAYOFF
1271238,45.94,STAYOFF
1273237,45.94,STAYOFF
1275237,45.94,STAYOFF
1277237,45.94,STAYOFF
1279237,45.94,STAYOFF
1281238,45.94,STAYOFF
1283238,45.94,STAYOFF
1285240,45.94,STAYOFF
1287240,45.94,STAYOFF
1289240,45.94,STAYOFF
1291240,45.88,STAYOFF
1293240,45.88,STAYOFF
1295240,45.88,STAYOFF
1297240,45.88,STAYOFF
1299239,45.88,STAYOFF
1301239,45.88,STAYOFF
1303239,45.88,STAYOFF
1305239,45.88,STAYOFF
1307239,45.88,STAYOFF
1309239,45.88,STAYOFF
1311239,45.88,STAYOFF
1313239,45.88,STAYOFF
1315239,45.81,STAYOFF
1317240,45.81,STAYOFF
1319241,45.81,STAYOFF
1321242,45.81,STAYOFF
1323242,45.81,STAYOFF
1325242,45.81,STAYOFF
1327242,45.81,STAYOFF
1329242,45.81,STAYOFF
1331241,45.81,STAYOFF
1333241,45.81,STAYOFF
1335241,45.81,STAYOFF
1337241,45.75,STAYOFF
1339241,45.75,STAYOFF
1341241,45.75,STAYOFF
1343241,45.75,STAYOFF
1345241,45.75,STAYOFF
1347240,45.75,STAYOFF
1349241,45.75,STAYOFF
1351242,45.75,STAYOFF
1353244,45.75,STAYOFF
1355244,45.75,STAYOFF
1357244,45.69,STAYOFF
1359244,45.75,STAYOFF
1361244,45.69,STAYOFF
1363244,45.69,STAYOFF
1365243,45.69,STAYOFF
1367243,45.69,STAYOFF
1369243,45.69,STAYOFF
1371242,45.69,STAYOFF
1373242,45.69,STAYOFF
1375242,45.69,STAYOFF
1377242,45.69,STAYOFF
