NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
649243,59.50,STAYOFF
651243,59.50,STAYOFF
653243,59.50,STAYOFF
655243,59.50,STAYOFF
657242,59.50,STAYOFF
659243,59.50,STAYOFF
661243,59.44,STAYOFF
663243,59.44,STAYOFF
665242,59.44,STAYOFF
667243,59.44,STAYOFF
669244,59.44,STAYOFF
671244,59.44,STAYOFF
673244,59.44,STAYOFF
675243,59.38,STAYOFF
677243,59.38,STAYOFF
679244,59.38,STAYOFF
681244,59.38,STAYOFF
683243,59.38,STAYOFF
685242,59.38,STAYOFF
687243,59.31,STAYOFF
689243,59.31,STAYOFF
691243,59.31,STAYOFF
693241,59.31,STAYOFF
695242,59.31,STAYOFF
697243,59.31,STAYOFF
699242,59.31,STAYOFF
701242,59.31,STAYOFF
703241,59.31,STAYOFF
705242,59.25,STAYOFF
707243,59.25,STAYOFF
709242,59.25,STAYOFF
711242,59.25,STAYOFF
713242,59.25,STAYOFF
715243,59.25,STAYOFF
717243,59.25,STAYOFF
719243,59.19,STAYOFF
721243,59.19,STAYOFF
723244,59.19,STAYOFF
725243,59.19,STAYOFF
727242,59.19,STAYOFF
729243,59.19,STAYOFF
731243,59.19,STAYOFF
733243,59.19,STAYOFF
735242,59.13,STAYOFF
737243,59.13,STAYOFF
739244,59.13,STAYOFF
741243,59.13,STAYOFF
743242,59.13,STAYOFF
745243,59.13,STAYOFF
747242,59.06,STAYOFF
749241,59.06,STAYOFF
751242,59.06,STAYOFF
753243,59.06,STAYOFF
755243,59.06,STAYOFF
757241,59.06,STAYOFF
759242,59.06,STAYOFF
761242,59.00,STAYOFF
763241,59.00,STAYOFF
765242,59.00,STAYOFF
767243,59.00,STAYOFF
769243,59.00,STAYOFF
771241,59.00,STAYOFF
773242,59.00,STAYOFF
775242,58.94,STAYOFF
777241,58.94,STAYOFF
779242,58.94,STAYOFF
781243,58.94,STAYOFF
783243,58.94,STAYOFF
785242,58.94,STAYOFF
787243,58.94,STAYOFF
789242,58.88,STAYOFF
791241,58.88,STAYOFF
793242,58.88,STAYOFF
795243,58.88,STAYOFF
797243,58.88,STAYOFF
799242,58.88,STAYOFF
801243,58.88,STAYOFF
803243,58.88,STAYOFF
805241,58.88,STAYOFF
807242,58.81,STAYOFF
809243,58.81,STAYOFF
811242,58.81,STAYOFF
813241,58.81,STAYOFF
815242,58.81,STAYOFF
817243,58.81,STAYOFF
819241,58.81,STAYOFF
821242,58.75,STAYOFF
823243,58.75,STAYOFF
825243,58.75,STAYOFF
827241,58.75,STAYOFF
829242,58.75,STAYOFF
831242,58.75,STAYOFF
833241,58.75,STAYOFF
835241,58.69,STAYOFF
837242,58.69,STAYOFF
839241,58.69,STAYOFF
841242,58.69,STAYOFF
843243,58.69,STAYOFF
845242,58.69,STAYOFF
847243,58.69,STAYOFF
849244,58.63,STAYOFF
851243,58.63,STAYOFF
853243,58.63,STAYOFF
855244,58.63,STAYOFF
857243,58.63,STAYOFF
859243,58.63,STAYOFF
861244,58.63,STAYOFF
863243,58.56,STAYOFF
865244,58.56,STAYOFF
867244,58.56,STAYOFF
869242,58.56,STAYOFF
871243,58.56,STAYOFF
873243,58.56,STAYOFF
875241,58.56,STAYOFF
877242,58.56,STAYOFF
879242,58.50,STAYOFF
881242,58.50,STAYOFF
883243,58.50,STAYOFF
885241,58.50,STAYOFF
887242,58.50,STAYOFF
889243,58.50,STAYOFF
891241,58.50,STAYOFF
893242,58.44,STAYOFF
895243,58.44,STAYOFF
897242,58.44,STAYOFF
899243,58.44,STAYOFF
901243,58.44,STAYOFF
903242,58.44,STAYOFF
905243,58.44,STAYOFF
907242,58.44,STAYOFF
909241,58.38,STAYOFF
911242,58.38,STAYOFF
913242,58.38,STAYOFF
